OBJECTID,Station_Name,Street_Address,City,State,ZIP,Station_Phone,Groups_With_Access_Code,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,Charging_Outlets,EV_Network,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,ID,Open_Date,EV_Connector_Types,Facility_Type,EV_Pricing
1,City of Spartanburg - Municipal Parking Garage,100 Dunbar St,Spartanburg,SC,29306,864-596-2026,Public,24 hours daily; pay lot,,2,,2,Non-Networked,200-9,34.950136,-81.93279,2019-12-12 0:00:00,36709,2010-12-15 0:00:00,J1772,MUNI_GOV,Free
2,City of Spartanburg - Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,864-596-2026,Public,24 hours daily,,2,,2,Non-Networked,200-8,34.951926,-81.931714,2019-12-12 0:00:00,36710,2010-12-15 0:00:00,J1772,MUNI_GOV,Free
3,Union Town Hall,101 Sharpe Ave,Union,SC,29379,864-429-1700,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.715982,-81.624616,2019-07-09 0:00:00,36711,2010-12-15 0:00:00,J1772,MUNI_GOV,Free
4,Spinx #149,1619 Decker Blvd,Columbia,SC,29206,803-782-4151,Public - Credit card at all times,24 hours daily,1,1,,2,Non-Networked,200-9,34.042116,-80.939041,2019-07-09 0:00:00,37056,2010-12-15 0:00:00,J1772 NEMA520,CONVENIENCE_STORE,Free
5,City of Columbia - Cannon Garage,1100 Taylor St,Columbia,SC,29201,803-545-4015,Public,24 hours daily; pay lot,,10,,10,Non-Networked,GPS,34.00741493,-81.0348006,2019-10-04 0:00:00,38298,2011-03-15 0:00:00,J1772,PAY_GARAGE,$0.75 per hour parking fee
6,City of Columbia - Washington Street Garage,1100 Washington St,Columbia,SC,29201,803-545-4015,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-9,34.003323,-81.035693,2019-07-09 0:00:00,38299,2011-03-15 0:00:00,J1772,PAY_GARAGE,$0.75 per hour parking fee
7,City of Columbia - Arsenal Hill Garage,1812 Lincoln St,Columbia,SC,29201,803-545-4015,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-9,34.008409,-81.041802,2019-07-09 0:00:00,38300,2011-03-15 0:00:00,J1772,PAY_GARAGE,$0.75 per hour parking fee
8,City of Columbia - Lincoln Street Garage,820 Washington St,Columbia,SC,29201,803-545-4015,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-8,34.002255,-81.040219,2019-07-09 0:00:00,38301,2011-03-15 0:00:00,J1772,PAY_GARAGE,$1 per first and second half-hour parking fee; $1 per each additional hour parking fee
9,Greenville Zoo,150 Cleveland Park Dr,Greenville,SC,29601,864-467-4300,Public,Zoo hours,,2,,2,Non-Networked,200-9,34.84709,-82.387269,2019-07-09 0:00:00,38302,2011-03-15 0:00:00,J1772,OTHER_ENTERTAINMENT,Free
10,City of Greenville - Poinsett Garage,25 W McBee Ave,Greenville,SC,29601,864-467-4900,Public,24 hours daily,,4,,4,Non-Networked,200-9,34.849724,-82.400667,2019-08-08 0:00:00,38303,2011-03-01 0:00:00,J1772,PAY_GARAGE,Free
11,City of Greenville - Spring Street Garage,316 S Spring St,Greenville,SC,29601,864-467-4900,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.849889,-82.397797,2019-08-08 0:00:00,38304,2011-03-15 0:00:00,J1772,PAY_GARAGE,Free
12,City of Greenville - Church Street Garage,320 N Church St,Greenville,SC,29601,864-467-4900,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.852754,-82.393113,2019-08-08 0:00:00,38305,2011-03-15 0:00:00,J1772,PAY_GARAGE,Free
13,City of Columbia - Park Street Garage,1007 Park St,Columbia,SC,29201,803-545-4015,Public,Garage business hours; pay lot,,2,,2,Non-Networked,200-9,33.997786,-81.036161,2019-07-09 0:00:00,38306,2011-03-15 0:00:00,J1772,PAY_GARAGE,$1 per first and second half-hour parking fee; $1 per each additional hour parking fee
14,City of Greenville - Commons Garage,60 Beattie Pl,Greenville,SC,29601,864-467-4900,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.852789,-82.396195,2019-08-08 0:00:00,38307,2011-03-15 0:00:00,J1772,PAY_GARAGE,Free
15,City of Greenville - Liberty Square Garage,65 Beattie Pl,Greenville,SC,29601,864-467-4900,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.85335,-82.394826,2019-08-08 0:00:00,38308,2011-03-15 0:00:00,J1772,PAY_GARAGE,Free
16,City of Greenville - Richardson Garage,66 Richardson St,Greenville,SC,29601,864-467-4900,Public,24 hours daily,,2,1,3,Non-Networked,200-9,34.852437,-82.399901,2020-01-13 0:00:00,38309,2011-03-15 0:00:00,CHADEMO J1772 J1772COMBO,PAY_GARAGE,Free
17,City of Rock Hill - Municipal Garage,121 E Black St,Rock Hill,SC,29730,803-325-2500,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.925782,-81.028444,2019-07-09 0:00:00,38310,2011-03-15 0:00:00,J1772,MUNI_GOV,Free
18,Timken Sports Complex,725 Rice Ave,Union,SC,29379,864-427-0150,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.716556,-81.648482,2019-07-09 0:00:00,38312,2011-03-15 0:00:00,J1772,REC_SPORTS_FACILITY,Free
19,Lockhart Power,420 River Rd,Lockhart,SC,29379,864-545-2211,Public,24 hours daily,,2,,2,Non-Networked,GPS,34.7705,-81.494433,2019-07-09 0:00:00,38313,2011-03-15 0:00:00,J1772,UTILITY,Free
20,City of Raleigh - Municipal Building,285 W Hargett St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; metered parking,,2,,2,Non-Networked,200-8,35.778416,-78.64347,2019-11-08 0:00:00,39016,2010-10-15 0:00:00,J1772,STREET_PARKING,Free
21,City of Raleigh - Downtown,215 W Cabarrus St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily,,1,,1,Non-Networked,200-8,35.77435,-78.642287,2019-11-08 0:00:00,39017,2011-02-15 0:00:00,J1772,STREET_PARKING,Free
22,Dick Smith Nissan,3670 Fernandina Rd,Columbia,SC,29210,803-772-8700,Public - Call ahead,Dealership business hours,,2,1,3,Non-Networked,200-9,34.055164,-81.128164,2020-06-09 0:00:00,39842,2011-03-15 0:00:00,CHADEMO J1772,CAR_DEALER,Free
23,Dick Smith Nissan,5536 Sunset Blvd,Lexington,SC,29072,803-957-7760,Public - Call ahead,Dealership business hours,,1,1,2,Non-Networked,200-9,33.997902,-81.222504,2020-06-09 0:00:00,39844,2011-03-15 0:00:00,CHADEMO J1772,CAR_DEALER,Free
24,Modern Nissan - Concord,967 Concord Pkwy S,Concord,NC,28027,704-788-2110,Public - Call ahead,Dealership business hours,,1,1,2,Non-Networked,200-9,35.392063,-80.622777,2020-06-09 0:00:00,40066,2011-03-15 0:00:00,CHADEMO J1772,CAR_DEALER,Free
25,Fred Anderson Nissan,4559 Raeford Rd,Fayetteville,NC,28304,910-758-2338,Public - Call ahead,Dealership business hours,,1,1,2,Non-Networked,200-9,35.042419,-78.956747,2020-06-09 0:00:00,40067,2011-03-15 0:00:00,CHADEMO J1772,CAR_DEALER,Free
26,Vann Yorks High Point Nissan,1810 S Main St,High Point,NC,27260,336-884-4122,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,35.937981,-79.996012,2020-06-09 0:00:00,40068,2011-03-15 0:00:00,J1772,CAR_DEALER,Free
27,Nissan of Lumberton,1949 Roberts Ave,Lumberton,NC,28358,910-739-8371,Public - Call ahead,Dealership business hours,,1,,1,Non-Networked,200-9,34.634487,-78.997134,2020-06-09 0:00:00,40069,2011-03-15 0:00:00,J1772,CAR_DEALER,Free
28,Green Square Public Parking Garage - Level B1,120 W Edenton St,Raleigh,NC,27603,919-807-4499,Public,24 hours daily; pay lot,2,12,,14,Non-Networked,GPS,35.78136,-78.6412,2019-10-04 0:00:00,40070,2012-02-01 0:00:00,J1772 NEMA520,PARKING_GARAGE,Free
29,Clemson Area Transit,200 West Ln,Clemson,SC,29631,864-654-2287  855-443-3873,Public,8am-5pm M-F,,2,,2,Non-Networked,200-9,34.702398,-82.801828,2019-07-09 0:00:00,40248,2011-06-15 0:00:00,J1772,MUNI_GOV,Free
30,South Carolina Technology and Aviation Center,2 Exchange St,Greenville,SC,29605,864-277-3152,Public,24 hours daily,,1,,1,Non-Networked,200-9,34.756982,-82.383799,2019-07-09 0:00:00,40522,2011-07-15 0:00:00,J1772,RESEARCH_FACILITY,Free
31,County of Greenville - County Square,301 University Ridge,Greenville,SC,29601,864-467-7016,Public,24 hours daily,,2,,2,Non-Networked,200-9,34.840912,-82.400037,2019-07-09 0:00:00,40570,2011-09-15 0:00:00,J1772,PARKING_GARAGE,Free
32,Furman University - Admissions Building,3300 Poinsett Hwy,Greenville,SC,29613,864-294-2000  855-443-3873,Public,"Students, faculty, and campus visitors only",,1,,1,Non-Networked,200-8,34.926241,-82.433164,2019-07-09 0:00:00,40571,2011-10-01 0:00:00,J1772,COLLEGE_CAMPUS,Free
33,City of Raleigh - City Center Deck,429 S Wilmington St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; pay lot,1,2,,3,Non-Networked,200-9,35.774619,-78.637705,2019-11-08 0:00:00,40744,2011-07-17 0:00:00,J1772 NEMA520,PARKING_GARAGE,Free
34,Marriott Hotel Underground Deck,1 W Lenoir St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; pay garage,,2,,2,Non-Networked,200-8,35.772881,-78.638502,2019-11-08 0:00:00,40745,2011-07-17 0:00:00,J1772,HOTEL,Free
35,City of Raleigh - Performing Arts Center Deck,128 W South St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; pay garage,,1,,1,Non-Networked,200-9,35.772619,-78.641492,2019-11-08 0:00:00,40747,2011-07-17 0:00:00,J1772,PAY_GARAGE,Free
36,City of Raleigh - Wilmington Station Deck,117 S Wilmington St,Raleigh,NC,27601,919-996-3030,Public,24 hours daily; pay garage,1,1,,2,Non-Networked,200-8,35.77937,-78.638203,2019-11-08 0:00:00,40751,2011-07-17 0:00:00,J1772 NEMA520,PAY_GARAGE,Free
37,Neal's Garage,1907 W Markham Ave,Durham,NC,27705,919-286-1167,Public,24 hours daily,,2,,2,Non-Networked,200-8,36.009999,-78.921405,2019-10-04 0:00:00,40854,2011-08-15 0:00:00,J1772,GAS_STATION,Free
38,SHEALY-COLUMBIA,120 Saxe Gotha Rd,West Columbia,SC,29172,888-758-4389,Public,24 hours daily,,1,,1,ChargePoint Network,GPS,33.9317322,-81.0593033,2020-06-17 0:00:00,40940,,J1772,,Free
39,Hampton Inn & Suites - Greenville,171 River Pl,Greenville,SC,29601,864-271-8700,Public,24 hours daily; pay lot,,1,,1,Non-Networked,200-8,34.846825,-82.40419,2019-07-09 0:00:00,41117,2011-10-03 0:00:00,J1772,HOTEL,Free
40,Greenville-Spartanburg International Airport - Parking Lot B,1980 GSP Dr,Greer,SC,29651,864-877-7426  864-662-4301,Public - Credit card at all times,24 hours daily,,2,,2,Non-Networked,200-8,34.889453,-82.215505,2019-07-09 0:00:00,41264,2011-09-01 0:00:00,J1772,AIRPORT,Free
